Maleta Vineyards,Niagara-on-the-Lake,905-685-8486,http://www.maletawinery.com,450 Queenston Road,-79.15885435,43.16472914
Kittling Ridge Wines & Spirits,Grimsby,905-945-9225,http://www.kittlingridge.com,297 South Service Road,-79.58326789,43.20286724
Andres Wines,Grimsby,905-643-4131,http://www.andrewpeller.com,697 South Service Road,-79.62151614,43.21228481
Crown Bench Estate Winery,Lincoln,905-563-3959,http://www.crownbenchestates.com,3850 Aberdeen Road,-79.46457717,43.14476772
Ridgepoint Wines,Lincoln,905-562-8853,http://www.ridgepointwines.com,3900 Cherry Avenue,-79.41584662,43.1481142
Royal Demaria Wines,Lincoln,905-562-6767,http://www.royaldemaria.com,4551 Cherry Avenue,-79.41291178,43.17790082
Ferndale Vineyards Inc.,Lincoln,905-562-3494,,3026 Eighth Avenue,-79.37406966,43.11381353
Creekside Estate Winery,Lincoln,905-562-0035,http://www.creeksidewine.com/,2170 Fourth Avenue,-79.33287084,43.15217076
Harbour Estates Winery,Lincoln,905-562-6279,http://www.hewwine.com,4362 Jordan Road,-79.36180075,43.17384157
Stoney Ridge Cellars,Lincoln,905-562-1324,http://www.stoneyridge.com,3201 King Street,-79.38231437,43.1485875
Kacaba Vineyards,Lincoln,905-562-5625,http://www.kacaba.com,3550 King Street,-79.40051751,43.15124364
Wayne Gretzky Estates Winery ,Lincoln,905-562-4945,http://www.gretzky.com/wine/,3751 King Street,-79.41164261,43.1585037
Thomas & Vaughan Vintners,Lincoln,905-563-7737,http://www.frugal-wine.com/wineries/t-and-v.html,4245 King Street,-79.43795134,43.15927265
Malivoire Wine Company,Lincoln,905-563-9253,http://www.malivoirewineco.com,4260 King Street,-79.43847211,43.15782658
Daniel Lenko Winery,Lincoln,905-563-7756,http://www.daniellenko.com,5246 King Street,-79.4897157,43.16918132
Peninsula Ridge Estates Winery Ltd.,Lincoln,905-563-0900,http://www.peninsularidge.com,5600 King Street,-79.50912268,43.17670204
Cave Spring Cellars,Lincoln,905-562-3581,http://www.cavespring.ca,3836 Main Street,-79.37013487,43.1488115
Mountain Road Wine Company,Lincoln,905-563-0745,http://www.mountainroadwine.com,4016 Mountain Street,-79.47987155,43.15386757
Angels Gate Winery,Lincoln,905-563-3942,http://www.angelsgatewinery.com,4260 Mountainview Road,-79.50026283,43.16449879
Thirty Bench Vineyards,Lincoln,905-563-1698,http://www.thirtybench.com,4281 Mountainview Road,-79.49565386,43.1660034
Vineland Estates Winery,Lincoln,905-562-7088,http://www.vineland.com,3620 Moyer Road,-79.40544094,43.14253164
